%Irradiación, TipoAlimento
000,Carnívoro
050,Carnívoro
100,Carnívoro
000,Herbívoro
050,Herbívoro
100,Herbívoro
000,Omnívoro
050,Omnívoro
100,Omnívoro
000,Insectívoros
050,Insectívoros
100,Insectívoros
010,Carnívoro
030,Carnívoro
090,Carnívoro
010,Herbívoro
030,Herbívoro
090,Herbívoro
010,Omnívoro
030,Omnívoro
090,Omnívoro
010,Insectívoros
030,Insectívoros
090,Insectívoros
020,Carnívoro
040,Carnívoro
080,Carnívoro
020,Herbívoro
040,Herbívoro
080,Herbívoro
020,Omnívoro
040,Omnívoro
080,Omnívoro
020,Insectívoros
040,Insectívoros
080,Insectívoros
000,Carnívoro
050,Carnívoro
100,Carnívoro
000,Herbívoro
050,Herbívoro
100,Herbívoro
000,Omnívoro
050,Omnívoro
100,Omnívoro
000,Insectívoros
050,Insectívoros
100,Insectívoros
100,Insectívoros
